col,tbl
AccessStageId,accessstage
AccessStageId,contracts
AccessStageId,shmvisitresults
AddressContactTypeGroupId,addresscontacttypegroups
AddressContactTypeGroupId,addresscontacttypes
AddressContactTypeId,addresscontacttypes
AddressContactTypeId,addresses
AddressContactTypeId,contacts
AddressId,addresses
AddressId,contacts
AddressId,orders
CodeId,ordercodes
CodeId,ratebookitems
ContactId,contacts
ContactId,orders
ContractGroupId,shmresources
ContractGroupId,shmusers
ContractId,contracts
ContractId,invoicebatches
ContractId,orders
ContractId,ratebooks
CostCategoryId,costcategory
CostCategoryId,orders
CustomerId,customers
CustomerId,orders
CustomerId,securityprofiles
CustomerId,shmresources
CustomerId,shmusers
CustomerId,shmvisitresults
EventId,shmvisitresults
EventId,visitresultevent
InvoiceBatchId,invoicebatches
InvoiceBatchId,orders
LabourTypeId,labourtypes
LabourTypeId,ratebookitems
LabourTypeId,shmvisits
MendelWorldId,contracts
MendelWorldId,shmresources
ObjectId,addresses
ObjectId,contacts
OrderId,appointmenthistory
OrderId,ordercharges
OrderId,ordercodes
OrderId,orders
OrderId,shmvisits
OrganisationId,contracts
OrganisationId,customers
OrganisationId,invoicebatches
OrganisationId,organisations
OvertimeLabourTypeId,labourtypes
OvertimeLabourTypeId,shmvisits
PlannedWorkTeamId,orders
PlannedWorkTeamId,shmresources
PriorityId,orders
PriorityId,priorities
PriorityId,shmvisits
PropertyTypeId,addresses
PropertyTypeId,propertytypes
RateBookId,ratebookitems
RateBookId,ratebooks
ResourceId,ordercodes
ResourceId,shmresources
ResourceWorkingTypeId,shmresources
ResourceWorkingTypeId,shmvisits
RotaId,customers
RotaId,shmresources
RotaId,shmvisits
SecurityProfileId,securityprofiles
SecurityProfileId,shmusers
ShmCustomerId,addresscontacttypes
ShmCustomerId,contracts
ShmCustomerId,organisations
ShmCustomerId,priorities
SubcontractOrderId,ordercodes
SubcontractOrderId,shmvisits
TableCatalogId,addresscontacttypes
TableCatalogId,addresses
TableCatalogId,contacts
TableCatalogId,tablecatalogitems
TeamId,orders
TeamId,shmresources
TeamId,shmvisits
TeamId,team
UserId,appointmenthistory
UserId,loginaudit
UserId,shmusers
VisitId,appointmenthistory
VisitId,ordercodes
VisitId,shmvisits
VisitResultId,shmvisitresults
VisitResultId,shmvisits
VisitResultId,visitresultevent
VisitSourceId,shmvisits
VisitSourceId,visitsources
WorkOrderViewId,contracts
WorkOrderViewId,orders
WorkingDayCalendarId,organisations
WorkingDayCalendarId,shmresources
