col,tbl
AccessStageGroupId,contracts
AccessStageId,accessstage
AccessStageId,contracts
AccessStageId,shmvisitresults
AccessStage_AccessStageId,orders
AddressContactTypeGroupId,addresscontacttypegroups
AddressContactTypeGroupId,addresscontacttypes
AddressContactTypeId,addresscontacttypes
AddressContactTypeId,addresses
AddressContactTypeId,contacts
AddressHousingAreaId,addresses
AddressId,addresses
AddressId,contacts
AddressId,orders
AnalysisCode1Id,ordercodes
AnalysisCode2Id,ordercodes
AnalysisCode3Id,ordercodes
AppointmentDeleteReasonGroupId,contracts
AppointmentDeleteReasonId,shmvisits
AppointmentHistoryId,appointmenthistory
AppointmentRearrangeReasonGroupId,contracts
AppointmentRearrangeReasonId,shmvisits
AppointmentResourceGroupId,shmvisits
ApprovalGroupId,shmusers
ApprovedByUserId,invoicebatches
AssetCyclicalProgrammeId,orders
AssetExcludeForDecencyReasonId,customers
AssetWarrantyId,orders
AssignedWorkCategoryId,shmvisits
AutoCreateServiceJobDefaultAccessStageId,contracts
AutoCreateServiceJobShelvedAccessStageId,contracts
AutoGenAssetId,organisations
AutoGenAssetWarrantyId,organisations
AwaitingApprovalByUserId,invoicebatches
BarisConfigId,contracts
BonusCategoryId,shmresources
BookTypeId,shmvisits
BookedByUserId,shmvisits
BookingTypeId,orders
CallCentreUserId,orders
ClosedByUserId,invoicebatches
CodeId,ordercodes
CodeId,ratebookitems
CodeTemplateId,orders
CommsProviderId,contracts
CommunicationPriorityGroupId,contracts
ConsumerExternalId,shmvisits
ContactId,contacts
ContactId,orders
ContractAreaId,customers
ContractGroupId,shmresources
ContractGroupId,shmusers
ContractId,contracts
ContractId,invoicebatches
ContractId,orders
ContractId,ratebooks
CostCategoryId,costcategory
CostCategoryId,orders
CostCentreId,ordercodes
CostCodeId,shmvisits
CountryId,addresses
CrmId,orders
CurrentConfigurationReleaseId,shmresources
CurrentMasterDataReleaseId,shmresources
CurrentMobileClientVersionId,shmresources
CustomerId,customers
CustomerId,orders
CustomerId,securityprofiles
CustomerId,shmresources
CustomerId,shmusers
CustomerId,shmvisitresults
CyclicalProgrammeId,orders
DayEndGeocodeId,shmresources
DayStartGeocodeId,shmresources
DebtorGeneralLedgerCodeId,organisations
DefaultCollectionPointId,shmresources
DefaultCostCategoryId,contracts
DefaultCustomJobCodeResourceCategoryId,contracts
DefaultCustomJobCodeResourceSubCategoryId,contracts
DefaultCustomJobCodeSkillId,contracts
DefaultCustomJobCodeUomId,contracts
DefaultCustomJobCodeWorkCategoryId,contracts
DefaultCustomJobCodeWorkTypeId,contracts
DefaultDeliveryJobContractId,organisations
DefaultDropOffLocationId,shmresources
DefaultExternalContractId,organisations
DefaultInternalContractId,organisations
DefaultLabourJobCodeId,contracts
DefaultLabourTypeId,shmresources
DefaultLanguageGroupId,contracts
DefaultMaterialJobCodeId,contracts
DefaultOrderIssueTypeGroupId,contracts
DefaultPlannedWorkTeamId,contracts
DefaultPlannedWorkTypeId,contracts
DefaultReferralTypeId,contracts
DefaultReferredToUserId,contracts
DefaultResourceId,customers
DefaultResourceVisualiserJobcodeId,contracts
DefaultSubcontractOrderIssueTypeGroupId,contracts
DefaultSupplierUserSubcontractOrderIssueTypeGroupId,contracts
DefaultTeamId,contracts
DefaultVatRateId,contracts
DefaultWorkTypeId,contracts
DeliveryLocationId,shmresources
DynamicJobDespatchRuleTemplateId,shmresources
EmploymentStatusId,customers
EmploymentTypeId,customers
EthnicOriginId,customers
EventId,shmvisitresults
EventId,visitresultevent
ExcludeForDecencyReasonExternalId,customers
FeedbackOutcomeGroupId,contracts
FeedbackOutcomeId,orders
FollowOnCodeId,shmvisits
FollowOnFromVisitId,shmvisits
GeneralLedgerCodeId,ordercodes
InputVatNotRecoverableGeneralLedgerCodeId,contracts
InputVatRecoverableGeneralLedgerCodeId,contracts
InvoiceAddressId,customers
InvoiceBatchId,invoicebatches
InvoiceBatchId,orders
InvoiceId,invoicebatches
InvoicedByUserId,invoicebatches
LabourTypeId,labourtypes
LabourTypeId,ratebookitems
LabourTypeId,shmvisits
LastVisitResultId,orders
LegacyContractId,shmvisits
LinkedPropertyForDecencyCustomerId,customers
LinkedPropertyForDecencyExternalId,customers
LocationExternalId,shmvisits
LockerLocationId,shmresources
LoginAuditId,loginaudit
ManualUserId,ordercodes
MaritalStatusId,customers
MaterialCostAnalysis1GeneralLedgerCodeId,contracts
MaterialCostAnalysis2GeneralLedgerCodeId,contracts
MaterialCostGeneralLedgerCodeId,contracts
MendelWorldId,contracts
MendelWorldId,shmresources
MessageTemplateId,accessstage
MobileResourceId,shmvisits
ObjectId,addresses
ObjectId,contacts
OptimiseWorldId,orders
OrderAlertGroupId,contracts
OrderChargeId,ordercharges
OrderCodeId,ordercodes
OrderDetailsViewId,contracts
OrderEntryPriorityGroupId,contracts
OrderGangId,shmvisits
OrderId,appointmenthistory
OrderId,ordercharges
OrderId,ordercodes
OrderId,orders
OrderId,shmvisits
OrderNoteTypeGroupId,contracts
OrderOutcomeDefaultId,contracts
OrderProcessStatusDefaultId,contracts
OrderProcessStatusGroupId,contracts
OrderProcessStatusId,orders
OrganisationGroupId,shmusers
OrganisationId,contracts
OrganisationId,customers
OrganisationId,invoicebatches
OrganisationId,organisations
OutcomeGroupId,contracts
OutcomeId,orders
OutputVatNotRecoverableGeneralLedgerCodeId,contracts
OutputVatRecoverableGeneralLedgerCodeId,contracts
OverrideTargetDateReasonGroupId,contracts
OvertimeLabourTypeId,labourtypes
OvertimeLabourTypeId,shmvisits
OwnerId,orders
OwnershipTypeId,addresses
ParentCustomerId,customers
PhotoId,ordercodes
PlannedWorkTeamId,orders
PlannedWorkTeamId,shmresources
PlannedWorkTypeId,orders
PlanningMaskId,shmvisits
PreferredCommunicationLanguageId,customers
PriorityId,orders
PriorityId,priorities
PriorityId,shmvisits
ProfileId,shmresources
PropertySchemeId,addresses
PropertyTypeId,addresses
PropertyTypeId,propertytypes
PurchaseOrderConditionTypeId,orders
PurchasingExternalId,organisations
PurchasingVatRateId,contracts
QueuedEventId,shmvisits
RateBookId,ratebookitems
RateBookId,ratebooks
RateBookItemId,ratebookitems
ReferralTypeId,shmvisits
ReferredToId,shmvisits
RelatedUserId,shmresources
RelationshipTypeId,contacts
ReleaseQuoteMessageTemplateId,contracts
ReligionId,customers
RepairingResponsibilityExternalId,customers
RequestId,shmvisits
ResourceCategoryId,shmresources
ResourceId,ordercodes
ResourceId,shmresources
ResourceRulesetId,shmusers
ResourceSubCategoryId,shmresources
ResourceWorkingTypeId,shmresources
ResourceWorkingTypeId,shmvisits
RevenueGeneralLedgerCodeId,contracts
RotaId,customers
RotaId,shmresources
RotaId,shmvisits
RoundupMinimumOrderJobCodeId,contracts
SalesExternalId,organisations
SecurityGroupId,shmresources
SecurityProfileId,securityprofiles
SecurityProfileId,shmusers
ShiftTypeId,shmvisits
ShmCustomerId,addresscontacttypes
ShmCustomerId,contracts
ShmCustomerId,organisations
ShmCustomerId,priorities
SkillId,priorities
SlaItemId,priorities
SpecificResourceId,shmvisits
StreetId,customers
SubcontractCostGeneralLedgerCodeId,contracts
SubcontractOrderId,ordercodes
SubcontractOrderId,shmvisits
SubcontractorInvoiceValueUpliftJobCodeId,contracts
SupplierId,ratebookitems
SupportAgencyId,contacts
SupportTypeId,contacts
TableCatalogId,addresscontacttypes
TableCatalogId,addresses
TableCatalogId,contacts
TableCatalogId,tablecatalogitems
TargetMobileClientVersionId,shmresources
TeamId,orders
TeamId,shmresources
TeamId,shmvisits
TeamId,team
TenancyTypeId,customers
UserId,appointmenthistory
UserId,loginaudit
UserId,shmusers
VatRateId,ordercodes
VisitCheckingHasVisitTimeConflictReferralTypeId,contracts
VisitExternalId,appointmenthistory
VisitId,appointmenthistory
VisitId,ordercodes
VisitId,shmvisits
VisitResultEventId,visitresultevent
VisitResultId,shmvisitresults
VisitResultId,shmvisits
VisitResultId,visitresultevent
VisitSourceId,shmvisits
VisitSourceId,visitsources
WarehouseLocationId,shmresources
WorkCategoryId,ordercodes
WorkOrderViewId,contracts
WorkOrderViewId,orders
WorkingDayCalendarId,organisations
WorkingDayCalendarId,shmresources
ZoneId,shmresources
ZoneItemId,addresses
ZoneItem_ZoneId,addresses
